,SP500,Temp,INDPRO
1994-11-30,6.117414145430759,0.43,70.4288
1994-12-31,6.129638272412099,0.39,71.1273
1995-01-31,6.153625912687398,0.55,71.2635
1995-02-28,6.189064623951494,0.76,71.1758
1995-03-31,6.216027091175606,0.51,71.2796
1995-04-30,6.243603635263444,0.51,71.1538
1995-05-31,6.279271611747914,0.33,71.4997
1995-06-30,6.300326973824729,0.46,71.7327
1995-07-31,6.331608605760917,0.49,71.4334
1995-08-31,6.331288303962709,0.53,72.3723
1995-09-30,6.3706027912975625,0.41,72.6543
1995-10-31,6.365610971958719,0.43,72.5336
1995-11-30,6.405839841345903,0.46,72.717
1995-12-31,6.4231333207127825,0.31,72.9638
1996-01-31,6.455230009386571,0.28,72.5712
1996-02-29,6.462139825746757,0.5,73.6207
1996-03-31,6.470025210286697,0.38,73.5141
1996-04-30,6.483367256516873,0.34,74.2491
1996-05-31,6.505963416240268,0.33,74.8142
1996-06-30,6.508217569088763,0.29,75.3726
1996-07-31,6.4613900483018005,0.37,75.3738
1996-08-31,6.480029224385721,0.45,75.7557
1996-09-30,6.5327854277088955,0.28,76.2302
1996-10-31,6.558580708218041,0.21,76.2157
1996-11-30,6.6293896731677044,0.4,76.8973
1996-12-31,6.607649686531299,0.36,77.3772
1997-01-31,6.667160334054171,0.27,77.5135
1997-02-28,6.673070381821368,0.37,78.4255
1997-03-31,6.6295217613499675,0.51,78.9197
1997-04-30,6.686285326419936,0.39,78.9848
1997-05-31,6.7432107699708626,0.39,79.4296
1997-06-30,6.785745824587275,0.56,79.7971
1997-07-31,6.860967608483257,0.43,80.4666
